probe	group	case	expected	observed	status
bounds-flags	bounds flags	spike: visible|noStroke|noExtended returns Illustrator's geometricBounds	the flags the effect uses ask for the box the native shear anchors on	the flags return 100.000000000,604.000000000,400.000000000,590.000000000, which is what the DOM calls geometricBounds	PASS
bounds-flags	bounds flags	areaText: visible|noStroke|noExtended returns Illustrator's geometricBounds	the flags the effect uses ask for the box the native shear anchors on	the flags return 100.000000000,620.000000000,360.000000000,460.000000000, which is what the DOM calls geometricBounds	PASS
bounds-flags	bounds flags	clipGroup: visible|noStroke|noExtended returns Illustrator's geometricBounds	the flags the effect uses ask for the box the native shear anchors on	the flags return 100.000000000,620.000000000,400.000000000,420.000000000, which is what the DOM calls geometricBounds	PASS
bounds-flags	bounds flags	strokedRect: visible|noStroke|noExtended returns Illustrator's geometricBounds	the flags the effect uses ask for the box the native shear anchors on	the flags return 100.000000000,600.000000000,300.000000000,480.000000000, which is what the DOM calls geometricBounds	PASS
bounds-flags	bounds flags	plainRect: visible|noStroke|noExtended returns Illustrator's geometricBounds	the flags the effect uses ask for the box the native shear anchors on	the flags return 100.000000000,600.000000000,300.000000000,480.000000000, which is what the DOM calls geometricBounds	PASS
bounds-flags	bounds flags	kControlBounds cannot be combined with the flags that exclude things	the SDK header implies it can; the host says otherwise	every control|noStroke and control|noExtended request returned kBadParameterErr (1346458189), on 5 of 5 fixtures	PASS
